"#","Time, GMT-04:00","Pressure, inHg, Charles River Weather Station","PAR, uE, Charles River Weather Station","Rain, in, Charles River Weather Station","RH, %, Charles River Weather Station","Wind Speed, mph, Charles River Weather Station","Gust Speed, mph, Charles River Weather Station","DewPt, *F, Charles River Weather Station","Wind Dir, *, Charles River Weather Station","Temp, *F, Charles River Weather Station Air Temp","Water Temp, *F, Charles River Weather Station","Water Temp, *F, Charles River Weather Station","DewPt, *F, Charles River Weather Station","Wind Dir, *, Charles River Weather Station","Temp, *F, Charles River Weather Station Air Temp"
1,05/01/20 00:00:00,30.028000000000002,1.0,0.0,91.7,0.0,0.0,,,,,-143.47,48.75,88.0,51.06
2,05/01/20 00:10:00,30.016000000000002,1.0,0.0,91.3,0.0,0.0,,,,,-143.47,49.11,93.0,51.550000000000004
3,05/01/20 00:20:00,30.016000000000002,1.0,0.0,90.8,0.0,0.0,,,,,-143.47,49.45,111.0,52.03
4,05/01/20 00:30:00,30.004,1.0,0.0,89.8,0.0,0.0,,,,,-143.47,49.32,119.0,52.2
5,05/01/20 00:40:00,29.992,1.0,0.0,89.4,0.0,0.0,,,,,-143.47,49.33,119.0,52.33
6,05/01/20 00:50:00,29.992,1.0,0.0,88.9,0.0,0.0,,,,,-143.47,49.35,105.0,52.51
7,05/01/20 01:00:00,29.986,1.0,0.0,88.60000000000001,0.0,0.0,,,,,-143.47,49.57,122.0,52.82
8,05/01/20 01:10:00,29.983,1.0,0.0,88.2,0.0,0.0,,,,,-143.47,49.620000000000005,110.0,52.99
9,05/01/20 01:20:00,29.974,1.0,0.0,88.0,0.0,0.0,,,,,-143.47,49.69,119.0,53.120000000000005
10,05/01/20 01:30:00,29.969,1.0,0.0,88.10000000000001,0.0,0.0,,,,,-143.47,49.800000000000004,122.0,53.21
11,05/01/20 01:40:00,29.957,1.0,0.0,88.0,0.0,0.0,,,,,-143.47,49.730000000000004,114.0,53.17
12,05/01/20 01:50:00,29.954,1.0,0.0,88.10000000000001,0.0,0.0,,,,,-143.47,49.67,117.0,53.08
13,05/01/20 02:00:00,29.957,1.0,0.0,88.4,0.0,0.0,,,,,-143.47,49.550000000000004,122.0,52.86
14,05/01/20 02:10:00,29.948,1.0,0.0,88.9,0.0,0.0,,,,,-143.47,49.53,126.0,52.68
15,05/01/20 02:20:00,29.939,1.0,0.0,89.2,0.0,0.0,,,,,-143.47,49.53,126.0,52.6
16,05/01/20 02:30:00,29.924,1.0,0.0,89.5,0.0,0.0,,,,,-143.47,49.75,119.0,52.730000000000004
17,05/01/20 02:40:00,29.915,1.0,0.0,89.8,0.0,0.0,,,,,-143.47,49.88,117.0,52.77
18,05/01/20 02:50:00,29.912,1.0,0.0,90.2,0.0,0.0,,,,,-143.47,49.96,119.0,52.730000000000004
19,05/01/20 03:00:00,29.904,1.0,0.0,90.60000000000001,0.0,0.0,,,,,-143.47,49.95,125.0,52.6
20,05/01/20 03:10:00,29.901,1.0,0.0,91.0,0.0,0.0,,,,,-143.47,50.07,125.0,52.6
21,05/01/20 03:20:00,29.889,1.0,0.0,91.5,0.0,0.0,,,,,-143.47,50.09,121.0,52.47
22,05/01/20 03:30:00,29.883,1.0,0.0,91.8,0.0,0.0,,,,,-143.47,50.35,122.0,52.64
